Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Drew Smyly","TEX",2,5,94.49999953,3,0,1,8,7,1,0,0,0,0,0.6,0.6,1.6,0.8676317572593689,11760
"Total","Hansel Robles","LAA",31,85,3.27272727,19,4,0,8,8,1,6,1,0,20,0.25333333,0.30120482,0.34666667,0.27356301429795055,11801
"Total","Hector Neris","PHI",39,108,5.0625,17,3,0,16,15,5,12,1,3,30,0.18681319,0.29906542,0.38461538,0.2917455266106804,11804
"Total","Chris Martin","2 Tms",24,56,3.85714286,13,1,0,7,7,2,0,0,0,21,0.23636364,0.23214286,0.36363636,0.24628230503627233,11847
"Total","Jason Adam","TOR",5,12,2.7,2,1,0,1,1,0,1,1,0,4,0.2,0.25,0.3,0.1896610422567888,11861
"Total","Enderson Franco","SFG",2,2,13.49999993,0,0,0,1,1,0,0,0,0,0,0,0,0,0,11896
"Total","Michael Feliz","PIT",13,27,3.85714286,3,1,0,3,3,2,3,0,1,11,0.13043478,0.25925926,0.43478261,0.2920679935702571,11903
"Total","Taylor Cole","LAA",11,22,5.68421053,5,3,0,4,4,0,2,1,0,3,0.26315789,0.31818182,0.42105263,0.28950007756551105,11964
"Total","Matt Andriese","ARI",15,58,6.23076923,15,5,0,9,9,0,5,1,1,15,0.29411765,0.36206897,0.39215686,0.32034715121252494,12022
"Total","Brian Flynn","KCR",5,14,3.375,5,1,0,1,1,1,3,2,0,2,0.5,0.61538462,0.9,0.5868469639257952,12027
"Total","Felipe Vazquez","PIT",27,82,1.22727273,13,3,1,4,3,1,2,0,1,27,0.16455696,0.19512195,0.26582278,0.19725862436178254,12076
"Total","Yimi Garcia","LAD",10,16,23.14285718,4,2,0,8,6,0,3,2,2,4,0.4,0.6,0.6,0.4847130225254939,12095
"Total","Parker Markel","PIT",3,8,0,0,0,0,0,0,0,2,0,0,0,0,0.25,0,0.17257362604141235,12106
"Total","Cody Allen","LAA",4,12,11.57142859,3,1,0,3,3,1,1,0,0,5,0.3,0.33333333,0.7,0.3930085053046544,12183
"Total","Dan Winkler","ATL",11,18,8.30769231,4,0,0,4,4,1,2,0,0,4,0.25,0.33333333,0.4375,0.32938593957159257,12237
"Total","Aaron Brooks","2 Tms",2,3,0,0,0,0,0,0,0,1,0,0,0,0,0.33333333,0,0.23009816805521646,12272
"Total","Evan Marshall","CHW",20,37,11.04545455,14,2,0,10,9,2,5,1,0,4,0.4375,0.51351351,0.6875,0.49360142482651603,12297
"Total","Jacob Barnes","2 Tms",4,7,45,1,0,0,6,5,1,3,1,0,0,0.25,0.57142857,1,0.5533541838328043,12323
"Total","Nick Tropeano","LAA",1,2,26.99999987,1,0,0,2,2,1,0,0,0,0,0.5,0.5,2,0.9697680473327637,12385
"Total","Seth Lugo","NYM",31,86,3.42253521,15,1,0,9,9,1,6,4,0,26,0.18987342,0.24705882,0.24050633,0.19557634327146742,12447
"Total","Chasen Bradford","SEA",3,5,0,0,0,0,0,0,0,1,0,0,1,0,0.2,0,0.13805890083312988,12452
"Total","Drew Gagnon","NYM",4,12,6.74999999,3,2,0,2,2,0,0,0,0,2,0.25,0.25,0.41666667,0.2752446383237839,12545
"Total","Blake Treinen","OAK",33,101,3.97058823,18,2,0,11,10,1,19,1,1,24,0.2278481,0.38,0.29113924,0.3087019246033948,12572
"Total","Nick Ramirez","DET",15,33,10.125,8,3,1,9,9,2,3,1,0,8,0.26666667,0.33333333,0.63333333,0.380558867007494,12575
"Total","DJ Johnson","COL",10,23,1.5,1,1,0,1,1,0,4,2,1,5,0.05555556,0.26086957,0.11111111,0.157927101566678,12578
"Total","Adam Morgan","PHI",15,26,7.94117647,7,2,0,6,5,0,1,1,1,3,0.29166667,0.34615385,0.375,0.3000232267379761,12580
