"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Colin Poche","TBR","7.50","3.00","2.50","1.88","21.1%","8.4%","12.6%",".163","0.92",".148","87.5%","62","140","118","2.25","5.28","-3.03","4.69","4.07","19403"
"Bryse Wilson","PIT","7.03","3.63","1.94","1.59","16.4%","8.5%","7.9%",".324","1.79",".364","57.6%","181","131","116","7.49","5.28","2.20","4.68","4.62","19990"
"Matt Barnes","BOS","7.41","6.35","1.17","1.06","17.3%","14.8%","2.5%",".250","1.71",".288","44.1%","198","135","144","7.94","5.29","2.65","5.69","5.23","12863"
"Kris Bubic","KCR","7.68","5.40","1.42","1.45","18.0%","12.6%","5.3%",".306","1.87",".353","61.8%","180","137","123","7.06","5.31","1.75","4.86","5.12","21455"
"Michael Pineda","DET","4.94","1.32","3.75","1.98","13.8%","3.7%","10.1%",".257","1.13",".250","88.5%","94","134","115","3.62","5.31","-1.69","4.59","4.69","5372"
"Jose Leclerc","TEX","7.20","1.80","4.00","1.80","16.7%","4.2%","12.5%",".318","1.60",".353","52.6%","237","135","152","9.00","5.32","3.68","6.00","4.92","14524"
"Ronel Blanco","HOU","9.95","5.68","1.75","1.42","21.9%","12.5%","9.4%",".296","1.89",".368","69.0%","190","136","130","7.11","5.33","1.78","5.16","4.47","19407"
"Anthony Bender","MIA","8.36","3.21","2.60","1.93","21.3%","8.2%","13.1%",".309","1.57",".359","85.1%","113","135","90","4.50","5.33","-0.83","3.61","3.43","19742"
"Reiver Sanmartin","CIN","6.29","4.44","1.42","1.48","14.5%","10.3%","4.3%",".352","2.01",".393","50.7%","227","126","112","9.99","5.33","4.65","4.55","4.68","19754"
"Robert Stephenson","COL","7.30","3.65","2.00","1.82","17.7%","8.8%","8.8%",".282","1.58",".308","59.4%","138","125","122","6.57","5.35","1.22","4.95","4.46","13594"
"Ryan Yarbrough","TBR","5.29","2.91","1.82","1.32","12.7%","7.0%","5.7%",".298","1.56",".319","67.3%","160","142","146","5.82","5.35","0.47","5.76","5.17","16502"
"Reid Detmers","LAA","6.83","3.26","2.10","1.71","18.6%","8.9%","9.7%",".203","1.10",".204","72.2%","121","133","122","4.66","5.36","-0.70","4.82","4.69","27468"
"Pedro Avila","SDP","11.25","2.25","5.00","2.25","27.8%","5.6%","22.2%",".188","1.00",".200","55.6%","112","134","81","4.50","5.37","-0.87","3.23","2.57","18864"
"Ian Gibaut","CLE","0.00","0.00","0.00","0.00","0.0%","0.0%","0.0%",".200","0.75",".200","100.0%","0","137","194","0.00","5.37","-5.37","7.60","6.43","17871"
"Erasmo Ramirez","WSN","6.43","2.31","2.78","1.80","16.3%","5.9%","10.5%",".286","1.40",".306","81.0%","97","131","113","4.11","5.40","-1.29","4.55","4.13","10314"
"Beau Brieske","DET","5.97","2.99","2.00","1.82","15.7%","7.8%","7.8%",".244","1.28",".248","76.4%","118","137","123","4.54","5.41","-0.87","4.89","4.91","26079"
"Ryan Pepiot","LAD","10.32","8.74","1.18","0.79","25.0%","21.2%","3.8%",".154","1.50",".200","85.2%","78","133","150","3.18","5.41","-2.23","6.11","5.78","26221"
"Jeurys Familia","PHI","8.54","3.76","2.27","2.05","20.8%","9.2%","11.7%",".312","1.71",".359","73.8%","121","130","103","5.13","5.43","-0.31","4.17","3.90","5114"
"Aaron Sanchez","WSN","4.60","2.30","2.00","1.72","11.3%","5.7%","5.7%",".356","1.76",".373","54.6%","196","132","113","8.33","5.45","2.88","4.58","4.81","11490"
"Noe Ramirez","ARI","8.45","3.82","2.21","1.91","22.1%","10.0%","12.1%",".258","1.39",".291","70.7%","128","136","106","5.45","5.45","0.01","4.27","3.94","12800"
"Ralph Garza","TBR","4.35","4.35","1.00","1.16","11.0%","11.0%","0.0%",".286","1.58",".300","83.7%","96","145","136","3.48","5.47","-1.99","5.38","5.42","17682"
