"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"47",608328,"De Jong, Chase","470","10.0","0.375","0.000","0.429","0.375","0.404","0.381","0.314","3","8","90.9","17.0","2457","87.9","87.20","4","21","26","-0.7","5.95","103","154","117","145","305","329","296"
"46",446321,"Detwiler, Ross","217","21.2","0.364","0.545","0.286","0.909","0.537","0.526","0.365","4","11","92.4","21.6","2130","89.4","88.41","1","20","26","-1.0","5.59","115","154","118","148","287","316","289"
"44",592390,"Hembree, Heath","301","14.6","0.111","0.333","0.000","0.444","0.276","0.238","0.099","1","9","81.2","38.0","2440","88.6","89.29","2","14","30","0.7","6.67","98","144","114","145","304","320","294"
"44",621016,"Cuas, Jose","204","21.6","0.182","0.091","0.222","0.273","0.271","0.361","0.251","2","11","71.2","-7.2","2460","89.5","89.56","7","22","22","0.1","6.51","103","155","112","145","302","321","291"
"44",594577,"Mayers, Mike","277","15.9","0.182","0.545","0.000","0.727","0.402","0.379","0.283","2","11","94.6","32.3","2204","89.7","89.18","2","17","27","-0.5","6.09","112","153","115","150","298","322","292"
"43",554431,"Matzek, Tyler","202","21.3","0.167","0.167","0.250","0.333","0.406","0.525","0.331","1","6","99.8","12.8","2433","93.5","93.32","8","18","25","-0.2","6.30","107","150","121","144","291","322","288"
"43",664092,"Poppen, Sean","336","12.8","0.250","0.167","0.250","0.417","0.290","0.331","0.238","3","12","90.2","30.3","2184","90.8","90.62","1","20","23","-0.2","6.27","101","146","115","142","303","325","301"
"42",642100,"Speier, Gabe","298","14.1","0.556","0.222","0.556","0.778","0.514","0.344","0.379","5","9","94.2","10.1","2044","88.3","87.83","3","17","25","-0.5","5.98","98","151","120","146","307","329","305"
"42",592804,"Thornburg, Tyler","362","11.6","0.333","0.500","0.200","0.833","0.558","0.459","0.232","2","6","88.4","19.2","2289","88.0","88.03","2","12","30","0.0","6.31","105","147","106","143","296","325","286"
"42",663558,"Moran, Jovani","237","17.7","0.167","0.000","0.500","0.167","0.329","0.357","0.211","1","6","76.9","14.5","2059","88.7","89.22","10","15","27","0.5","6.60","108","151","118","149","300","330","287"
